Нижний Тагил;Свердловское ш., д. 31;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Нижний Тагил;Уральский пр., д. 75;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новокузнецк;Зорге ул., д. 7а;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новокузнецк;Куйбышева ул., д. 17, стр. 4;192284, С.-Петербург, Бухарестская ул., д. 69;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новокузнецк;Светлая ул., д. 7;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новокузнецк;Транспортная ул., д. 136;194356, С.-Петербург, Выборгское ш., д. 11;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новокузнецк;Хлебозаводская ул., д. 19;198205, С.-Петербург, Таллинское ш., д. 159;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новороссийск;Григорьева ул., д. 1;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новороссийск;Ленина ул., д. 7;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новосибирск;Бердское ш., д. 2;С.-Петербург, Дальневосточный пр., д. 16, кор. 1;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новосибирск;Большевистская ул., д. 52/1;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новосибирск;Гусинобродское ш., д. 64;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новосибирск;Кирзаводская ул., д. 1A;192284, С.-Петербург, Бухарестская ул., д. 69;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новосибирск;Мясниковой ул., д. 29;198205, С.-Петербург, Таллинское ш., д. 159;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новосибирск;Петухова ул., д. 73;194356, С.-Петербург, Выборгское ш., д. 11;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новосибирск;Энергетиков пр-д, д. 9;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новосибирск;Геодезическая ул., д. 4/1;;;;Лента;Супермаркет
Новосибирск;Карла Маркса пл., д. 2;;;;Лента;Супермаркет
Новосибирск;Южный микрорайон ул., д. 56 (Искитим);;;;Лента;Супермаркет
Новочеркасск;Гагарина ул., д. 2Б;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Новошахтинск;Харьковская ул., д. 201;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Омск;10 лет Октября ул., д. 190, к. 2;194356, С.-Петербург, Выборгское ш., д. 11;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Омск;21-я Амурская ул., д. 21;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Омск;70 лет Октября ул., д. 25;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Омск;Красноярский тракт, д. 22а;192284, С.-Петербург, Бухарестская ул., д. 69;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Омск;Лукашевича ул., д. 33;198205, С.-Петербург, Таллинское ш., д. 159;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Омск;Сибирский пр., д. 7;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Оренбург;Загородное ш., д. 38;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Оренбург;Шарлыкское ш., д. 1;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Орск;Ленина пр., д. 168;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Орёл;Московское ш., д. 56;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Пенза;Антонова ул., д. 18 B;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Пенза;Строителей пр., д. 2Б;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Пермь;Парковый пр., д. 66;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Петрозаводск;Комсомольский пр., д. 27;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Петрозаводск;Ленинградская ул., д. 13;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Прокопьевск;Строителей пр., д. 18;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Псков;Рижский пр., д. 96 б;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Ростов-на-Дону;14 линия ул., д. 84;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Ростов-на-Дону;Аксайский пр., д. 2;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Ростов-на-Дону;Доватора ул., д. 267;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Рязань;12-й Район ул., д. 131;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Рязань;Тимуровцев ул., д. 3a;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Самара;Аэродромная ул., д. 47;;;;Лента;Гипермаркет
Самара;Красноармейская ул., д. 131;;;;Лента;Гипермаркет
Саранск;Волгоградская ул., д. 71;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Саратов;Блинова ул., д. 50;;;;Лента;Гипермаркет
Саратов;Молодёжная ул., д. 2а;;;;Лента;Гипермаркет
Сергиев Посад;Новоугличское ш., д. 85;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Серпухов;Борисово, д. 111А;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Смоленск;25 Сентября ул., д. 35а;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Ставрополь;Батайская ул., д. 2 А;;;;Лента;Гипермаркет
Ставрополь;Доваторцев ул., д. 75A;;;;Лента;Гипермаркет
Сургут;30 лет Победы  ул., д. 74;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Сургут;Югорский тракт, д. 2;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Сыктывкар;Октябрьский пр., д. 141;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Сыктывкар;Сысольское ш., д. 27;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
